ID nr.,smolt,sjø,totalt,gytarar,vill/oppdrett
BJE18H-01,2,2,4,,Vill
BJE18H-02,,0,,,Vill
BJE18H-03,3,1,4,,Vill
BJE18H-04,3,1,4,,Vill
BJE18H-05,2,2,4,,Vill
BJE18H-06,2,2,4,,Vill
BJE18H-07,2,2,4,,Vill
BJE18H-08,2,2,4,,Vill
BJE18H-09,3,2,5,,Vill
BJE18H-10,3,2,5,,Vill
BJE18H-11,3,2,5,,Vill
BJE18H-12,2,5,7,2-3-g-1+,Vill
BJE18H-13,,0,,,Oppdrett
BJE18H-14,3,0,3,,Vill
BJE18H-15,3,1,4,,Vill
BJE18H-16,2,1,3,,Vill
BJE18H-17,3,1,4,,Vill
BJE18H-18,,2,,,Vill
BJE18H-19,3,2,5,,Vill
BJE18H-20,3,2,5,,Vill
BJE18H-21,,1,,,Vill
BJE18H-22,2,1,3,,Vill
BJE18H-23,,2,,,Vill
BJE18H-24,,2,,,Vill
BJE18H-25,3,1,4,,Vill
BJE18H-26,,1,,,Vill
BJE18H-27,,2,,,Vill
BJE18H-28,,0,,,Vill
BJE18H-29,2,1,3,,Vill
BJE18H-30,2,2,4,2-1-g+,Vill
BJE18H-31,,3,,?-2-g+,Vill
BJE18H-32,,1,,,Vill
BJE18H-33,,0,,,Vill
BJE18H-34,2,2,4,,Vill
BJE18H-35,3,1,4,,Vill
BJE18H-36,3,1,4,,Vill
BJE18H-37,2,1,3,,Vill
BJE18H-38,2,1,3,,Vill
BJE18H-39,3,1,4,,Vill
BJE18H-40,3,0,3,,Vill
BJE18H-41,2,1,3,,Vill
BJE18H-42,4,1,5,,Vill
BJE18H-43,,2,,,Vill
BJE18H-44,3,1,4,,Vill
BJE18H-45,,1,,,Vill
BJE18H-46,,1,,,Vill
BJE18H-47,3,1,4,,Vill
BJE18H-48,3,1,4,,Vill
BJE18H-49,3,2,5,,Vill
BJE18H-50,4,2,6,,Vill
BJE18H-51,3,1,4,,Vill
BJE18H-52,,2,,,Vill
BJE18H-53,3,2,5,,Vill
BJE18H-54,3,1,4,,Vill
BJE18H-55,3,2,5,,Vill
BJE18H-56,3,2,5,,Vill
BJE18H-57,,0,,,Vill
BJE18H-58,2,1,3,,Vill
BJE18H-59,3,1,4,,Vill
BJE18H-60,,2,,,Vill
Bre18H-01,,0,,,Oppdrett
Bre18H-02,,1,,,Vill
Bre18H-03,,2,,,Oppdrett
Bre18H-04,4,1,5,,Vill
Bre18H-05,,2,,,Oppdrett
Bre18H-06,3,2,5,,Vill
Bre18H-07,,1,,,Vill
Bre18H-08,,2,,,Vill
Bre18H-09,4,1,5,,Vill
Bre18H-10,,1,,,Vill
Bre18H-11,3,1,4,,Vill
Bre18H-12,4,2,6,,Vill
Bre18H-13,4,2,6,,Sjøørret
Bre18H-14,4,1,5,,Vill
Bre18H-15,,2,,,Vill
Bre18H-16,3,1,4,,Vill
Bre18H-17,3,1,4,,Vill
Bre18H-18,4,1,5,,Vill
Bre18H-19,,1,,,Oppdrett
Bre18H-20,3,1,4,,Vill
Bre18H-21,4,1,5,,Vill
Bre18H-22,4,1,5,,Vill
Bre18H-23,,1,,,Vill
Bre18H-24,4,1,5,,Vill
Bre18H-25,,1,,,Vill
Bre18H-26,,1,,,Oppdrett
Bre18H-27,,1,,,Oppdrett
Bre18H-28,4,1,5,,Vill
Bre18H-29,4,1,5,,Vill
Bre18H-30,,0,,,Sjøørret
BRE18S-01,3,2,5,,Vill
BRE18S-02,4,3,7,,Vill
BRE18S-03,4,2,6,,Vill
