ID nr.,smolt,sjø,totalt,gytarar,vill/oppdrett
Audna2017-001,2,2,4,,Vill
Audna2017-002,3,1,4,,Vill
Audna2017-003,3,1,4,,Vill
Audna2017-004,3,3,6,,Vill
Audna2017-005,3,2,5,,Vill
Audna2017-006,,2,,,Vill
Audna2017-007,3,4,7,3-2-g-1+,Vill
Audna2017-008,3,2,5,,Vill
Audna2017-009,3,4,7,3-2-g-1+,Vill
Audna2017-010,2,3,5,,Vill
Audna2017-011,,2,,,Vill
Audna2017-012,,2,,,Vill
Audna2017-013,,1,,,Vill
Audna2017-014,2,2,4,,Vill
Audna2017-015,3,2,5,,Vill
Audna2017-016,3,2,5,,Vill
Audna2017-017,3,2,5,,Vill
Audna2017-018,2,2,4,,Vill
Audna2017-019,2,1,3,,
Audna2017-020,2,2,4,,Vill
Audna2017-021,,2,,,Vill
Audna2017-022,3,4,7,3-2-g-1+,Vill
Audna2017-023,,2,,,Vill
Audna2017-024,,2,,,Vill
Audna2017-025,,2,,,
Audna2017-026,3,2,5,,Vill
Audna2017-027,,2,,,Vill
Audna2017-028,,2,,,
Audna2017-029,,2,,,Vill
Audna2017-030,3,2,5,,Vill
Audna2017-031,3,2,5,,
Audna2017-032,,2,,,Vill
Audna2017-033,,3,,,Vill
Audna2017-034,3,2,5,,
Audna2017-035,,2,,,
Audna2017-036,,1,,,Vill
Audna2017-037,,2,,,
Audna2017-038,,4,,?-2-g-1+,
Audna2017-039,,2,,,
Audna2017-040,3,3,6,,
Audna2017-041,,2,,,Vill
Audna2017-042,2,3,5,,Vill
Audna2017-043,,2,,,Vill
Audna2017-044,3,2,5,,
Audna2017-045,,2,,,Vill
Audna2017-046,,3,,,
Audna2017-047,2,1,3,,Vill
Audna2017-048,,2,,,
Audna2017-049,2,2,4,,
Audna2017-050,,3,,?-1-g-1+,
Audna2017-051,,2,,,
Audna2017-052,2,3,5,,
Audna2017-053,3,2,5,,
Audna2017-054,3,1,4,,
Audna2017-055,2,1,3,,Vill
Audna2017-056,,1,,,Vill
Audna2017-057,,2,,,
Audna2017-058,3,4,7,3-2-g-1+,
Audna2017-059,2,2,4,,
Audna2017-060,2,1,3,,Vill
Audna2017-061,3,3,6,,
Audna2017-062,,1,,,Vill
Audna2017-063,,3,,?-2-g-0+,
Audna2017-064,2,1,3,,Vill
Audna2017-065,,1,,,Vill
Audna2017-066,3,1,4,,Vill
Audna2017-067,,1,,,Vill
Audna2017-068,2,1,3,,Vill
Audna2017-069,2,3,5,2-1-g-1+,Vill
Audna2017-070,,2,,,Vill
Audna2017-071,,2,,,
Audna2017-072,,1,,,Vill
Audna2017-073,,4,,?-2-g-1+,
Audna2017-074,3,2,5,,Vill
Audna2017-075,,3,,?-1-g-1+,Vill
Audna2017-076,2,1,3,,
Audna2017-077,,4,,?-2-g-1+,Vill
Audna2017-078,3,2,5,,Vill
Audna2017-079,2,3,5,2-1-g-1+,Vill
Audna2017-080,2,2,4,,Vill
Audna2017-081,3,3,6,,
Audna2017-082,2,1,3,,Vill
Audna2017-083,,2,,,Vill
Audna2017-084,3,2,5,,Vill
Audna2017-085,,4,,?-2-g-1+,
Audna2017-086,2,1,3,,Vill
Audna2017-087,3,2,5,,
Audna2017-088,2,2,4,,
Audna2017-089,,2,,,Vill
Audna2017-090,3,4,7,3-2-g-1+,
Audna2017-091,3,2,5,,
Audna2017-092,2,2,4,,
Audna2017-093,3,2,5,,Vill
Audna2017-094,3,1,4,,Vill
Audna2017-095,,1,,,Vill
Audna2017-096,,3,,,
Audna2017-097,2,2,4,,
Audna2017-098,,3,,,
Audna2017-099,,2,,,
Audna2017-100,,2,,,Vill
Audna2017-101,,2,,,
Audna2017-102,,3,,?-1-g-1+,
Audna2017-103,2,1,3,,Vill
Audna2017-104,2,1,3,,Vill
Audna2017-105,,2,,,
Audna2017-106,,2,,,Vill
Audna2017-107,2,1,3,,
Audna2017-108,,3,,,
Audna2017-109,3,2,5,,
Audna2017-110,3,2,5,,Vill
Audna2017-111,,1,,,Vill
Audna2017-112,3,2,5,,Vill
Audna2017-113,,2,,,Vill
Audna2017-114,,2,,,Vill
Audna2017-115,,1,,,Vill
Audna2017-116,3,2,5,,Vill
Audna2017-117,,1,,,Vill
Lygna2017-001,2,3,5,,.
Lygna2017-002,3,2,5,,Vill
Lygna2017-003,3,1,4,,
Lygna2017-004,2,2,4,,Vill
Lygna2017-005,2,1,3,,
Lygna2017-006,3,4,7,3-2-g-1+,
Lygna2017-007,2,1,3,,
Lygna2017-008,,2,,,Vill
Lygna2017-009,2,3,5,,Vill
Lygna2017-010,2,2,4,,
Lygna2017-011,,2,,,Vill
Lygna2017-012,2,1,3,,
Lygna2017-013,2,2,4,,Vill
Lygna2017-014,3,2,5,,
Lygna2017-015,3,1,4,,
Lygna2017-016,3,1,4,,
Lygna2017-017,,1,,,
Lygna2017-018,,1,,,
Lygna2017-019,,1,,,
Lygna2017-020,2,2,4,,
Lygna2017-021,,2,,,
Lygna2017-022,3,2,5,,
Lygna2017-023,2,2,4,,
Lygna2017-024,,2,,,
Lygna2017-025,,3,,?-1-g-1+,
Lygna2017-026,2,2,4,,
Lygna2017-027,2,1,3,,
Lygna2017-028,2,1,3,,
Lygna2017-029,,1,,,Vill
Lygna2017-030,3,2,5,,
Lygna2017-031,,2,,,Vill
Lygna2017-032,3,2,5,,Vill
Lygna2017-033,3,2,5,,
Lygna2017-034,,,,,Vill
Lygna2017-035,3,2,5,,
Lygna2017-036,,1,,,Vill
Lygna2017-037,2,1,3,,
Lygna2017-038,2,1,3,,
Lygna2017-039,2,1,3,,
Lygna2017-040,2,1,3,,Vill
Lygna2017-041,3,1,4,,
Lygna2017-042,3,2,5,,
Lygna2017-043,2,1,3,,
Lygna2017-044,,2,,,
Lygna2017-045,,1,,,Vill
Lygna2017-046,3,3,6,,
Lygna2017-047,2,2,4,,Vill
Lygna2017-048,3,2,5,,
Lygna2017-049,2,1,3,,Vill
Lygna2017-050,3,3,6,,Vill
Lygna2017-051,3,2,5,,Vill
Lygna2017-052,3,2,5,,
Lygna2017-053,2,1,3,,Vill
Lygna2017-054,,1,,,
Lygna2017-055,3,2,5,,
Lygna2017-056,,1,,,Vill
Lygna2017-057,3,1,4,,
Lygna2017-058,2,2,4,,Vill
Lygna2017-059,3,1,4,,
Lygna2017-060,2,1,3,,
Lygna2017-061,2,1,3,,
Lygna2017-062,,1,,,
Lygna2017-063,,1,,,Vill
Lygna2017-064,2,1,3,,
Lygna2017-065,,1,,,
Lygna2017-066,,1,,,
Lygna2017-067,2,1,3,,Vill
Lygna2017-068,3,2,5,,
Lygna2017-069,2,2,4,,
Lygna2017-070,2,2,4,,Vill
Lygna2017-071,,2,,,
Lygna2017-072,2,3,5,,
Lygna2017-073,3,2,5,,
Lygna2017-074,,1,,,
Lygna2017-075,3,3,6,3-1-g-1+,
Lygna2017-076,2,1,3,,
Lygna2017-077,,1,,,Vill
Lygna2017-078,,2,,,Vill
Lygna2017-079,2,1,3,,Vill
Lygna2017-080,3,3,6,3-1-g-1+,Vill
