filename y_hat fishno
80.jpg 3.1956344 80
52.jpg 3.0028508 52
24.jpg 2.8293288 24
75.jpg 2.8364797 75
78.jpg 3.1390908 78
112.jpg 2.5315704 112
109.jpg 3.4696014 109
123.jpg 2.742873 123
150.jpg 2.8151727 150
147.jpg 2.4514174 147
50.jpg 2.7888656 50
22.jpg 2.9118192 22
73.jpg 3.4946146 73
45.jpg 3.1968615 45
17.jpg 2.591561 17
76.jpg 3.3268518 76
48.jpg 3.169505 48
99.jpg 3.331048 99
115.jpg 2.9943664 115
126.jpg 2.7411053 126
6.jpg 2.6767147 6
71.jpg 3.6611423 71
43.jpg 2.9343333 43
15.jpg 2.8387413 15
97.jpg 3.0358453 97
69.jpg 3.2819622 69
118.jpg 2.8502173 118
132.jpg 2.9166114 132
129.jpg 2.6775756 129
111.jpg 3.3677075 111
1.jpg 1.6356107 1
10.jpg 3.1845438 10
41.jpg 2.5993352 41
13.jpg 2.2040973 13
92.jpg 2.8158746 92
64.jpg 3.4868114 64
36.jpg 3.1631403 36
95.jpg 2.7723148 95
67.jpg 2.9553409 67
39.jpg 2.8234296 39
135.jpg 2.7371597 135
114.jpg 3.2859178 114
90.jpg 2.9452167 90
62.jpg 2.7760553 62
34.jpg 3.3191671 34
138.jpg 2.864017 138
88.jpg 3.178232 88
120.jpg 2.8113582 120
117.jpg 2.725731 117
131.jpg 3.1430283 131
4.jpg 2.9498985 4
110.jpg 2.482077 110
60.jpg 3.043894 60
32.jpg 3.3213894 32
83.jpg 2.8011916 83
55.jpg 2.9699523 55
27.jpg 3.204129 27
86.jpg 2.9713418 86
58.jpg 3.0529385 58
134.jpg 2.2402012 134
102.jpg 2.955658 102
113.jpg 3.415971 113
30.jpg 3.4122787 30
81.jpg 2.8663206 81
53.jpg 2.877506 53
25.jpg 2.863349 25
79.jpg 3.0646963 79
140.jpg 2.115589 140
137.jpg 2.6593702 137
105.jpg 3.6522372 105
116.jpg 3.0331545 116
7.jpg 2.7600152 7
8.jpg 2.8634212 8
20.jpg 2.9179935 20
51.jpg 2.886747 51
23.jpg 2.71209 23
74.jpg 3.2146814 74
46.jpg 2.7259562 46
18.jpg 3.2241187 18
77.jpg 3.1042013 77
49.jpg 2.5076158 49
143.jpg 2.8528109 143
108.jpg 3.0252223 108
122.jpg 2.3422809 122
119.jpg 2.7842672 119
2.jpg 2.8689668 2
21.jpg 2.7298648 21
72.jpg 3.1231685 72
44.jpg 3.3651087 44
16.jpg 3.3072572 16
101.jpg 3.016529 101
47.jpg 2.8484983 47
19.jpg 3.0273497 19
98.jpg 2.9715698 98
146.jpg 2.583496 146
125.jpg 2.8888896 125
136.jpg 2.8282478 136
11.jpg 2.968686 11
70.jpg 3.035502 70
42.jpg 3.221457 42
14.jpg 3.0452766 14
104.jpg 3.6170619 104
93.jpg 2.6849933 93
65.jpg 3.3361628 65
37.jpg 2.7482307 37
96.jpg 2.612579 96
68.jpg 3.1681647 68
149.jpg 2.6646662 149
128.jpg 3.0962942 128
142.jpg 1.9867569 142
139.jpg 3.0447137 139
5.jpg 2.8621528 5
107.jpg 3.473873 107
40.jpg 2.8592515 40
12.jpg 3.1298466 12
91.jpg 2.7526734 91
121.jpg 2.6433234 121
63.jpg 3.1378176 63
35.jpg 2.7558963 35
94.jpg 2.9993138 94
66.jpg 2.9005368 66
38.jpg 2.9786544 38
89.jpg 3.134101 89
100.jpg 2.654654 100
145.jpg 2.1399837 145
124.jpg 2.7414443 124
61.jpg 3.1734726 61
33.jpg 3.5295608 33
84.jpg 2.8047159 84
56.jpg 3.0466177 56
28.jpg 2.844345 28
87.jpg 3.0300226 87
59.jpg 3.135978 59
103.jpg 3.1430962 103
148.jpg 3.0859842 148
130.jpg 2.385732 130
9.jpg 3.1110177 9
127.jpg 3.2410145 127
141.jpg 2.8818045 141
31.jpg 2.9111016 31
82.jpg 2.6186082 82
54.jpg 3.3608756 54
26.jpg 2.8514678 26
85.jpg 3.3343325 85
57.jpg 2.830682 57
29.jpg 3.3620224 29
106.jpg 3.7020397 106
133.jpg 3.0146224 133
3.jpg 2.6977038 3
144.jpg 2.2028446 144
